n,success_rate,wilson_low_95,wilson_high_95,ci_half_width_95,relative_half_width,target_half_width,target_relative_half_width
20,0.05,0.00888121943287,0.236135893513,0.11362733704,2.2725467408,0.04,0.6
40,0.025,0.00442671740779,0.12881659488,0.0621949387361,2.48779754945,0.04,0.6
60,0.0333333333333,0.00918912649015,0.113639875289,0.0522253743996,1.56676123199,0.04,0.6
80,0.025,0.00688274889813,0.0866460005532,0.0398816258275,1.5952650331,0.04,0.6
100,0.02,0.00550185223497,0.070013162942,0.0322556553535,1.61278276768,0.04,0.6
120,0.025,0.00853802009879,0.0709312374043,0.0311966086528,1.24786434611,0.04,0.6
140,0.0214285714286,0.00731387078077,0.0611058353404,0.0268959822798,1.25514583973,0.04,0.6
160,0.01875,0.00639673490168,0.053671037874,0.0236371514862,1.26064807926,0.04,0.6
180,0.0222222222222,0.00867478310163,0.0557371889439,0.0235312029211,1.05890413145,0.04,0.6
200,0.02,0.00780430017639,0.0502878655052,0.0212417826644,1.06208913322,0.04,0.6
220,0.0181818181818,0.00709258691557,0.0458091078543,0.0193582604694,1.06470432582,0.04,0.6
240,0.0166666666667,0.00649983558778,0.0420628378855,0.0177815011489,1.06689006893,0.04,0.6
260,0.0192307692308,0.00824139823071,0.0442203818677,0.0179894918185,0.935453574561,0.04,0.6
