nodes,final_mass_kg,runtime_s,solver_success
40,316260.833664,12.8273460865,1
50,316306.45575,21.8273370266,1
60,316341.573043,39.5697431564,1
70,316360.601738,57.4086661339,1
80,316375.164631,111.099263906,1
90,316380.387618,43.4964818954,1
100,316381.292737,75.952862978,1
110,316384.691669,27.7511780262,1
120,316390.83016,37.8607439995,1
130,316393.947274,56.5978579521,1
140,316395.504982,49.5205688477,1
