nodes,final_mass_kg,runtime_s,solver_success,terminal_valid,strict_terminal_ok,strict_path_ok,raw_path_ok,raw_q_ok,raw_g_ok,q_ok,g_ok,max_q_pa,max_g,status
80,316230.910198,746.031527996,1,1,1,1,1,1,1,1,1,34925.7015566,3.9801533454,PASS_RAW
100,316238.492121,764.522706985,1,1,1,1,1,1,1,1,1,34858.3936885,3.97789316592,PASS_RAW
120,316250.90772,831.760133266,1,1,1,1,1,1,1,1,1,34805.4948843,3.97632648414,PASS_RAW
140,316255.886069,0,1,1,1,1,1,1,1,1,1,34856.4667704,3.97515778202,PASS_RAW
