nodes,final_mass_kg,runtime_s,solver_success,terminal_valid,strict_terminal_ok,strict_path_ok,raw_path_ok,raw_q_ok,raw_g_ok,q_ok,g_ok,max_q_pa,max_g,status
20,315815.739962,7.16939425468,1,1,1,1,0,0,1,1,1,35392.9325348,3.96985342317,PASS_SLACK
40,316119.968483,11.5363981724,1,1,1,1,0,0,1,1,1,35154.4108575,3.96970299361,PASS_SLACK
60,316202.431216,16.1147577763,1,1,1,1,0,0,1,1,1,35044.2221392,3.96958388566,PASS_SLACK
80,316230.910198,32.8542106152,1,1,1,1,1,1,1,1,1,34925.034799,3.96945428448,PASS_RAW
100,316238.492121,38.5284910202,1,1,1,1,1,1,1,1,1,34853.7854502,3.96930489894,PASS_RAW
120,316250.90772,39.9181790352,1,1,1,1,1,1,1,1,1,34804.2176712,3.96915799556,PASS_RAW
140,316255.886069,0,1,1,1,1,1,1,1,1,1,34831.4622396,3.96900575552,PASS_RAW
