phase,interval_index,solver_ok,end_position_error_m,end_velocity_error_m_s,end_mass_error_kg,max_relative_error,sampled_max_q_pa,sampled_max_g,q_margin_pa,g_margin
boost,30,1,5.61704880852e-07,1.00731239318e-08,4.65661287308e-10,2.32754481747e-11,22876.1566624,1.83346152451,-12123.8433376,-2.16653847549
boost,31,1,6.11032529886e-07,1.10011512002e-08,4.65661287308e-10,2.37276806359e-11,24236.9396968,1.84603251942,-10763.0603032,-2.15396748058
boost,32,1,6.64812545268e-07,1.19758353091e-08,0,2.43585333793e-11,25603.9734044,1.85877941999,-9396.02659561,-2.14122058001
boost,33,1,7.20415787134e-07,1.29921084826e-08,0,2.55342653619e-11,26971.7921169,1.87169804994,-8028.20788307,-2.12830195006
boost,34,1,2.09275475729e-05,1.85276144451e-05,4.65661287308e-10,6.92447543279e-08,28333.1039093,1.88334764397,-6666.89609073,-2.11665235603
boost,35,1,7.36144746358e-07,1.59603943953e-08,9.31322574615e-10,3.15658812141e-11,29680.0079438,1.89494959787,-5319.99205624,-2.10505040213
boost,36,1,8.17308133162e-07,1.7317584542e-08,9.31322574615e-10,3.39325719243e-11,31005.7873765,1.90646391517,-3994.21262352,-2.09353608483
boost,37,1,9.0306018477e-07,1.87331624692e-08,0,3.63048441972e-11,32303.3597881,1.91778843436,-2696.64021187,-2.08221156564
boost,38,1,9.93464238263e-07,2.01971343852e-08,0,3.8663680733e-11,33564.7296321,1.92855191519,-1435.27036794,-2.07144808481
boost,39,1,1.0897142309e-06,2.16825702138e-08,3.72529029846e-09,4.09482428258e-11,34773.6246586,1.93511567617,-226.37534142,-2.06488432383
boost,40,1,1.13443472161e-06,1.89722598847e-08,5.12227416039e-09,4.41989904895e-11,34785.2094336,1.43673133022,-214.790566356,-2.56326866978
boost,41,1,0.000155741136388,3.9226663019e-05,4.65661287308e-10,1.20596400846e-07,34787.7113072,1.44710273554,-212.288692805,-2.55289726446
boost,42,1,1.27606836134e-06,2.18712571624e-08,9.31322574615e-10,5.56405798114e-11,34788.0314432,1.46193930447,-211.968556824,-2.53806069553
boost,43,1,1.3318305662e-06,2.32025681382e-08,9.31322574615e-10,5.9196989182e-11,34788.0513579,1.47797432549,-211.948642123,-2.52202567451
boost,44,1,1.38889839188e-06,2.45308441448e-08,9.31322574615e-10,6.28346860694e-11,34788.0802506,1.4950236467,-211.919749425,-2.5049763533
boost,45,1,1.44246850498e-06,2.58471757107e-08,9.31322574615e-10,6.65329833649e-11,34788.1192507,1.51318697474,-211.880749289,-2.48681302526
boost,46,1,1.49855699328e-06,2.71433010991e-08,4.65661287308e-10,7.02661219193e-11,34788.169621,1.5325754342,-211.830379046,-2.4674245658
boost,47,1,1.55053769922e-06,2.84100000245e-08,1.86264514923e-09,7.40106516435e-11,34788.2327719,1.55331300223,-211.767228144,-2.44668699777
boost,48,1,1.60098631017e-06,2.96386061433e-08,1.39698386192e-09,7.77340299794e-11,34788.3102862,1.57553816444,-211.689713759,-2.42446183556
boost,49,1,1.6503576865e-06,3.08210702514e-08,1.39698386192e-09,8.14074220162e-11,34788.4039487,1.59940584135,-211.596051263,-2.40059415865
boost,50,1,1.69511729698e-06,3.19490068217e-08,1.86264514923e-09,8.49936286474e-11,34788.5157817,1.62508964057,-211.484218286,-2.37491035943
boost,51,1,1.73895327261e-06,3.30161595457e-08,9.31322574615e-10,8.84678683451e-11,34788.6480898,1.6527845022,-211.351910171,-2.3472154978
boost,52,1,1.78045153238e-06,3.40154692985e-08,1.86264514923e-09,9.17902286856e-11,34788.8035202,1.68270982592,-211.196479802,-2.31729017408
boost,53,1,1.81770414156e-06,3.49420470312e-08,1.86264514923e-09,9.49320124642e-11,34788.9996473,1.71512989732,-211.000352746,-2.28487010268
boost,54,1,4.34752687683e-06,2.00919479197e-05,3.25962901115e-09,4.5520509564e-08,34848.4432827,1.79839120017,-151.556717266,-2.20160879983
boost,55,1,0.000112881157797,9.12368437746e-05,1.86264514923e-09,2.04397438075e-07,34791.2696731,2.02633961346,-208.730326859,-1.97366038654
boost,56,1,2.28414799126e-06,5.25977485292e-08,3.81842255592e-08,1.56351059242e-10,34791.6706378,2.08049619996,-208.329362154,-1.91950380004
boost,57,1,2.2863478882e-06,5.29683239527e-08,1.25728547573e-08,1.55061508663e-10,34799.0171729,2.14543500925,-200.982827108,-1.85456499075
boost,58,1,2.2845973735e-06,5.31837556665e-08,3.30619513988e-08,1.53282273895e-10,34806.438053,2.20410369598,-193.561947049,-1.79589630402
boost,59,1,2.27076651033e-06,5.31293131901e-08,4.65661287308e-10,1.50679187725e-10,34799.1632002,2.22365941702,-200.83679979,-1.77634058298
boost,60,1,2.20121844977e-06,5.18523137117e-08,0,1.44219776264e-10,34734.0775623,2.24130289862,-265.922437654,-1.75869710138
boost,61,1,2.13027723055e-06,5.05989708947e-08,0,1.37502154184e-10,34597.8546557,2.25916756944,-402.145344273,-1.74083243056
boost,62,1,2.05396168478e-06,4.93547108544e-08,0,1.30628972357e-10,34392.0543847,2.27726411064,-607.945615273,-1.72273588936
boost,63,1,1.9753303507e-06,4.81023373357e-08,0,1.23674410637e-10,34118.627877,2.29560026751,-881.372123024,-1.70439973249
boost,64,1,1.89480167378e-06,4.6827620538e-08,4.65661287308e-10,1.16701321327e-10,33779.8856992,2.31418273384,-1220.11430077,-1.68581726616
boost,65,1,1.81452036016e-06,4.55195870274e-08,4.65661287308e-10,1.09761496592e-10,33378.4651582,2.33301756113,-1621.53484181,-1.66698243887
boost,66,1,1.72965800244e-06,4.41696233104e-08,4.65661287308e-10,1.0289885043e-10,32917.2965046,2.35211036525,-2082.70349536,-1.64788963475
boost,67,1,1.64633105895e-06,4.27755901196e-08,0,9.61579703461e-11,32399.5684036,2.37146647503,-2600.43159639,-1.62853352497
boost,68,1,1.56270939704e-06,4.13327979921e-08,4.65661287308e-10,8.95683300344e-11,31828.6930347,2.39109105401,-3171.3069653,-1.60890894599
boost,69,1,1.477460803e-06,3.98436833232e-08,0,8.3163302421e-11,31208.2711674,2.41098920518,-3791.72883258,-1.58901079482
