variable,spearman_altitude_error,prcc_altitude_error,prcc_altitude_ci_low_95,prcc_altitude_ci_high_95,spearman_velocity_error,prcc_velocity_error,prcc_velocity_ci_low_95,prcc_velocity_ci_high_95,spearman_fuel_margin,prcc_fuel_margin,prcc_fuel_ci_low_95,prcc_fuel_ci_high_95
thrust_multiplier,0.953834845871,0.991829768742,0.98530627015,0.99300249158,0.945808145204,0.990855760009,0.984108558726,0.992272085343,-0.852093302333,-0.978359608168,-0.983453787945,-0.965260571121
isp_multiplier,-0.212030300758,-0.909719451992,-0.91834452374,-0.861300900318,-0.236813920348,-0.914440090381,-0.922448619149,-0.866017325982,0.434344858621,0.933978444527,0.903485646842,0.946485914694
density_multiplier,0.0335663391585,-0.12504195716,-0.259117806395,0.038731695615,0.0498852471312,-0.00980915588793,-0.165951661561,0.144952269899,-0.0694757368934,-0.0197464854364,-0.174699007784,0.15093688066
