run,thrust_multiplier,isp_multiplier,density_multiplier,optimizer_success,strict_ok,strict_path_ok,q_ok,g_ok,status,minimum_fuel_kg,runtime_s
1,1.0027055076,1.00699858789,0.893540664244,1,1,1,1,1,PASS,4651372.99456,33.1969242096
2,1.00985287237,1.01642141663,0.759868478148,1,1,1,1,1,PASS,4641448.73649,32.1133468151
3,1.03794833579,1.01191153454,0.909439399174,1,1,1,1,1,PASS,4645398.27705,31.1787199974
4,0.98072222673,0.98315135054,1.0423487999,1,1,1,1,1,PASS,4673007.99406,33.1380820274
5,0.997695687803,1.01092892778,0.894939376409,1,1,1,1,1,PASS,4649005.58044,33.7542359829
6,0.998289341484,1.00702625304,1.12848145045,1,1,1,1,1,PASS,4656038.77874,33.9270560741
7,0.982593773283,0.999172088885,0.962451569735,1,1,1,1,1,PASS,4659990.28328,32.3875081539
8,0.987078594902,0.982183396123,1.0375759573,1,1,0,1,0,PATH,4673096.73928,32.6197156906
9,1.03124450782,1.00200571042,0.898687114875,1,1,1,1,1,PASS,4652869.67277,34.1596300602
10,0.999847968671,1.01815398323,1.10467877416,1,1,1,1,1,PASS,4647494.36075,32.727617979
11,0.994132959638,0.982152015597,1.07844104414,1,1,1,1,1,PASS,4673301.03839,32.0419409275
12,1.01019090622,1.01098774002,0.99875431531,1,1,0,1,0,PATH,4649859.10549,35.1744070053
13,1.01984318918,1.00461957517,0.961426659078,1,1,1,1,1,PASS,4653013.70248,31.8040370941
14,0.99697414632,0.994154880304,1.03295813683,1,1,1,1,1,PASS,4663649.74113,31.5554523468
15,0.995779422107,0.989662018573,1.09113664087,1,1,1,1,1,PASS,4668019.25706,31.7431681156
16,0.998961560804,1.00437490535,0.926667156305,1,1,1,1,1,PASS,4654190.34086,33.9278731346
17,0.977792360782,0.990175267313,0.954093067204,1,1,1,1,1,PASS,4666682.42376,31.5215160847
18,1.00941371259,0.998742132285,1.18383812272,1,1,1,1,1,PASS,4662151.85754,33.2239849567
19,1.00702681668,0.995691976366,1.06266455778,1,1,0,1,0,PATH,4662313.94306,32.6236670017
20,1.00134941675,1.00597571227,1.2455378185,1,1,1,1,1,PASS,4658644.27159,32.8488137722
21,0.978124378988,1.00177663803,0.874177804482,1,1,1,1,1,PASS,4656970.94426,35.5028169155
22,1.00314866525,1.00225172793,1.2588253146,1,1,1,1,1,PASS,4661422.18776,35.5300009251
23,0.991185697248,0.987758770926,1.0547464391,1,1,1,1,1,PASS,4669086.67426,36.4878058434
24,0.948546610302,0.999270162354,1.05687324272,0,0,0,0,0,OPT_FAIL,nan,698.866576195
25,0.989345723718,0.99673406378,0.861826615261,1,1,1,1,1,PASS,4659309.09968,31.9964540005
26,1.00501458296,0.998962639721,1.05541308316,1,1,1,1,1,PASS,4659977.86455,38.1522438526
27,0.992326337902,1.01635573937,0.932078343682,1,1,1,1,1,PASS,4646283.16658,33.8376350403
28,0.978158755854,0.995926222849,0.883531698967,1,1,1,1,1,PASS,4661298.42486,36.0943140984
29,0.997722913812,0.986135359294,0.989018931501,1,1,1,1,1,PASS,4668540.49234,31.9916331768
30,0.987981512571,0.985970608776,1.19602823511,1,1,1,1,1,PASS,4673120.28899,36.6040329933
31,1.01424449662,1.00320009359,0.901493558221,1,1,1,1,1,PASS,4653321.28877,32.9632809162
32,0.991130426079,0.992200993791,1.09328791458,1,1,1,1,1,PASS,4666605.31773,36.1285083294
33,1.02490119539,0.991776323865,1.05470288881,1,1,1,1,1,PASS,4663735.69938,31.605256319
