trial,label,pitch_start_shift_s,pitch_end_shift_s,pitch_gain_scale,pitch_start_time_s,pitch_end_time_s,pitch_gain,solver_success,final_mass_kg,final_mass_gap_to_best_kg,runtime_s
1,nominal,0,0,1,10,25,0.1,1,316395.504982,0.000118485128041,29.1939229965
2,rand_01,-1.39758596203,-0.357811396242,1.23414723574,8.60241403797,24.6421886038,0.123414723574,1,316395.504982,0.000118569820188,30.4771053791
3,rand_02,-1.97690973208,2.51435874111,0.833898658862,8.02309026792,27.5143587411,0.0833898658862,1,316395.504982,0.000118355557788,28.7190263271
4,rand_03,4.39304791275,-4.50301319834,1.23363155293,14.3930479128,20.4969868017,0.123363155293,1,316395.505101,0,28.5618898869
5,rand_04,2.18717933492,-0.254865300355,0.83213526674,12.1871793349,24.7451346996,0.083213526674,1,316395.504982,0.000118096475489,31.4290356636
6,rand_05,4.88871614222,-0.987604070728,1.21619788296,14.8887161422,24.0123959293,0.121619788296,1,316395.504982,0.000118337280583,27.7633118629
7,rand_06,3.20906239781,0.00295681252976,1.00808501974,13.2090623978,25.0029568125,0.100808501974,1,316395.505099,1.62003561854e-06,28.0013298988
8,rand_07,4.38342968036,-0.369143359968,0.816413891936,14.3834296804,24.63085664,0.0816413891936,1,316395.504983,0.000117482442874,31.5602450371
