nodes,final_mass_kg,runtime_s,solver_success
40,316260.833664,9.55693078041,1
50,316306.45575,8.79506087303,1
60,316341.573043,11.298473835,1
70,316360.601738,13.5025908947,1
80,316375.164631,15.3579063416,1
90,316380.387618,17.5481271744,1
100,316381.292737,18.99056077,1
110,316384.691669,21.7000520229,1
120,316390.83016,23.368858099,1
130,316393.947274,26.4073169231,1
140,316395.504982,28.3829238415,1
