thrust_multiplier,density_multiplier,strict_success,fuel_margin_kg,normalized_orbit_error,altitude_error_m,velocity_error_m_s,q_ok,g_ok,status
0.94,0.8,0,275411.773355,52.9427523979,-252882.508797,-666.727383804,1,1,MISS
0.952,0.8,0,263608.538406,42.9077925537,-203120.275314,-547.163282364,1,1,MISS
0.964,0.8,0,251805.301026,32.6013380993,-152852.022177,-421.006740857,1,1,MISS
0.976,0.8,0,240002.168891,21.9879298362,-101929.157522,-287.860724523,1,1,MISS
0.988,0.8,0,228198.89783,11.034931634,-50220.6576439,-147.320455414,1,1,MISS
1,0.8,0,216395.569248,0.349824224,2392.64361206,1.02833161312,1,0,PATH
1.012,0.8,0,204592.320935,12.0225377382,56021.9295763,157.627797069,1,0,MISS
1.024,0.8,0,192789.064241,24.1848481143,110767.238836,322.954565692,1,0,MISS
1.036,0.8,0,180985.672334,36.8148683282,166726.497136,497.536068222,1,0,MISS
1.048,0.8,0,169182.486143,49.9467611669,224003.230238,681.936570378,1,0,MISS
1.06,0.8,0,157379.236999,63.6186676106,282701.899536,876.810081098,1,0,MISS
0.94,0.84,0,275411.787034,53.0615871392,-253744.397157,-667.237997347,1,1,MISS
0.952,0.84,0,263608.555962,43.0072231687,-203860.548003,-547.572681387,1,1,MISS
0.964,0.84,0,251805.337076,32.6858311214,-153497.679216,-421.340638305,1,1,MISS
0.976,0.84,0,240002.004565,22.0608430591,-102502.027901,-288.136407326,1,1,MISS
0.988,0.84,0,228198.753167,11.0989198605,-50738.404327,-147.553663769,1,1,MISS
1,0.84,1,216395.480942,0.280370759369,1917.00000738,0.826971024603,1,1,PASS
1.012,0.84,0,204592.214719,11.9688062821,55575.8337221,157.448409158,1,0,MISS
1.024,0.84,0,192788.995161,24.1348906674,110341.759787,322.791284524,1,0,MISS
1.036,0.84,0,180985.7169,36.7672020277,166313.921021,497.378679522,1,0,MISS
1.048,0.84,0,169182.490996,49.9009413103,223599.592378,681.784773047,1,0,MISS
1.06,0.84,0,157379.26917,63.5738094925,282299.875756,876.662539384,1,0,MISS
