toggle,label,enabled,status,runtime_s,error_message
randomized_multistart,Randomized multi-start robustness,1,completed,265.325646639,
grid_independence,Grid independence,1,completed,199.506266832,
collocation_defect_audit,Collocation defect audit,1,completed,57.1826858521,
theoretical_efficiency,Theoretical efficiency,1,completed,9.1890630722,
integrator_tolerance,Integrator tolerance,1,completed,17.9515650272,
event_time_convergence,Event-time convergence,1,completed,18.3180589676,
monte_carlo_precision_target,Monte Carlo precision target,1,completed,1226.22341418,
global_sensitivity,Global sensitivity ranking,1,completed,2924.17146921,
q2_uncertainty_budget,Q2 uncertainty budget,1,completed,1876.93090916,
smooth_integrator_benchmark,Smooth ODE integrator benchmark,1,completed,3.080493927,
conservative_invariants,Conservative-invariant audit,1,completed,5.57412314415,
finite_time_sensitivity,Finite-time sensitivity,1,completed,6.72589802742,
bifurcation,Bifurcation,1,completed,112.783272028,
bifurcation_2d_map,Bifurcation 2D map,1,completed,590.799044132,
drift,Drift analysis,1,completed,5.94866204262,
model_limitations,Model limitations,1,completed,0.00478625297546,
q7_conclusion_support,Q7 conclusion support,1,completed,0.00360202789307,
