rtol,atol,t_max_q_s,t_max_g_s,t_staging_s,t_depletion_s,max_q_pa,max_g,drift_max_q_s,drift_max_g_s,drift_staging_s,drift_depletion_s,drift_max_q_pa,drift_max_g
1e-06,1e-09,59.771537725,152.925005125,152.925005125,nan,35045.0987099,3.99655135135,0.125149696525,19.661791651,0,nan,11.3429515933,0.0242511048097
1e-07,1e-10,59.8434194995,135.359042103,152.925005125,nan,35047.5142285,3.9997690738,0.0532679220665,2.09582862987,0,nan,13.7584702474,0.0210333823653
1e-08,1e-11,59.7336512898,134.34335635,152.925005125,nan,35027.777304,4.00467688623,0.163036131711,1.08014287616,0,nan,5.97845425451,0.0161255699313
1e-09,1e-12,59.8762479021,134.354375894,152.925005125,nan,35037.0561251,4.00517772508,0.0204395194173,1.09116242038,0,nan,3.30036683121,0.0156247310772
1e-10,1e-13,59.8976715856,133.26306471,152.925005125,nan,35034.0840342,4.00524302598,0.000984164022157,0.000148763730294,0,nan,0.328275890657,0.0155594301789
1e-12,1e-14,59.8966874216,133.263213474,152.925005125,nan,35033.7557583,4.02080245616,0,0,0,nan,0,0
