n,success_rate,std_error,wilson_low_95,wilson_high_95
1,0.0,0.0,0.0,0.7934567085261071
2,0.0,0.0,0.0,0.6576280471103807
3,0.0,0.0,0.0,0.5615060804490177
4,0.0,0.0,0.0,0.48990002040399916
5,0.0,0.0,0.0,0.43449149475208104
6,0.0,0.0,0.0,0.3903430336530645
7,0.0,0.0,0.0,0.35433884297520657
8,0.0,0.0,0.0,0.3244156195108769
9,0.0,0.0,0.0,0.2991527535509594
10,0.0,0.0,0.0,0.2775401687666165
11,0.0,0.0,2.7755575615628914e-17,0.2588400172488141
12,0.0,0.0,0.0,0.2425007574992425
13,0.0,0.0,0.0,0.22810184305529166
14,0.0,0.0,0.0,0.21531701192718142
15,0.0,0.0,0.0,0.20388926630434784
16,0.0,0.0,0.0,0.19361341827271994
17,0.0,0.0,0.0,0.18432366037156456
18,0.0,0.0,0.0,0.1758845505823749
19,0.0,0.0,0.0,0.16818436536845052
20,0.0,0.0,0.0,0.1611301254949332
21,0.0,0.0,0.0,0.15464382326420195
22,0.0,0.0,1.3877787807814457e-17,0.14865952572596125
23,0.0,0.0,0.0,0.14312112541726274
24,0.0,0.0,0.0,0.13798057582897535
25,0.0,0.0,0.0,0.13319649395317873
26,0.0,0.0,0.0,0.12873304380462175
27,0.0,0.0,0.0,0.12455903714463581
28,0.0,0.0,0.0,0.12064720365810762
29,0.0,0.0,0.0,0.11697359446555587
30,0.0,0.0,0.0,0.113517091390478
31,0.0,0.0,0.0,0.11025900073475385
32,0.0,0.0,0.0,0.1071827150573635
33,0.0,0.0,0.0,0.10427343003561192
34,0.0,0.0,0.0,0.10151790621961015
35,0.0,0.0,0.0,0.09890426758938868
36,0.0,0.0,0.0,0.09642183044857634
37,0.0,0.0,0.0,0.09406095745514377
38,0.0,0.0,0.0,0.09181293258383999
39,0.0,0.0,0.0,0.08966985360023902
40,0.0,0.0,0.0,0.08762453925039232
41,0.0,0.0,0.0,0.08567044886890744
42,0.0,0.0,0.0,0.08380161250916197
43,0.0,0.0,0.0,0.08201257002322722
44,0.0,0.0,6.938893903907228e-18,0.08029831778201396
45,0.0,0.0,0.0,0.07865426194064076
46,0.0,0.0,0.0,0.07707617732978073
47,0.0,0.0,6.938893903907228e-18,0.0755601711983887
48,0.0,0.0,0.0,0.0741026511527422
49,0.0,0.0,0.0,0.07270029673590504
50,0.0,0.0,0.0,0.07135003417431873
51,0.0196078431372549,0.019414657705424988,0.003469603253442241,0.10304807675589372
52,0.019230769230769232,0.019044960339620904,0.0034027204090655225,0.10120746268024422
53,0.018867924528301886,0.0186890776054207,0.003338367386749398,0.09943143501149412
54,0.018518518518518517,0.018346249485727373,0.0032764033153519848,0.09771665358487208
55,0.01818181818181818,0.018015770702067717,0.003216697592252786,0.09606000460483224
56,0.017857142857142856,0.017696985874377052,0.003159128964463985,0.0944585817919329
57,0.017543859649122806,0.017389285185380774,0.003103584706680089,0.09290966938262721
58,0.017241379310344827,0.017092100489256898,0.003049959884541757,0.09141072677298326
59,0.01694915254237288,0.016804901812363878,0.002998156692981528,0.08995937462385317
60,0.016666666666666666,0.01652719420071502,0.002948083860873682,0.08855338226779477
61,0.03278688524590164,0.022800598712937815,0.009037700815687881,0.11189700776645692
62,0.04838709677419355,0.02725204509637419,0.016591385000846108,0.13288250384754152
63,0.047619047619047616,0.026830293800905285,0.016325872842212416,0.13091177556835826
64,0.046875,0.026421385270446646,0.016068725432185196,0.12899860788542522
65,0.046153846153846156,0.026024742262539098,0.01581955358590327,0.12714051706904955
66,0.045454545454545456,0.025639821582625736,0.015577991894810295,0.1253351601521073
67,0.05970149253731343,0.028945967245766605,0.023458971433043548,0.1436970498877623
68,0.07352941176470588,0.03165132591085761,0.03181437515487155,0.160853939581994
69,0.07246376811594203,0.031210545046850176,0.03134730921766905,0.15867597418082852
70,0.07142857142857142,0.030781843120404807,0.03089376151029352,0.15655613123309228
71,0.07042253521126761,0.030364731614087564,0.03045315340626454,0.1544921176729214
72,0.06944444444444445,0.029958747929501817,0.03002493884382272,0.15248175932710195
73,0.0684931506849315,0.029563453696090036,0.029608602066378893,0.15052299331945376
74,0.06756756756756757,0.02917843321020329,0.029203655548562038,0.14861386104924684
75,0.06666666666666667,0.02880329199292382,0.028809638090317204,0.14675250169375617
76,0.06578947368421052,0.028437655456270312,0.02842611306337576,0.1449371461899458
77,0.06493506493506493,0.028081167668433007,0.028052666796070366,0.14316611165462828
78,0.0641025641025641,0.02773349020959408,0.027688907083923665,0.14143779620633457
79,0.06329113924050633,0.027394301110698367,0.027334461814729392,0.13975067415560433
80,0.0625,0.027063293868263706,0.026988977697985535,0.1381032915335177
81,0.06172839506172839,0.02674017652896835,0.026652119089554074,0.13649426193107733
82,0.06097560975609756,0.026424670838333334,0.02632356690332186,0.13492226262455276
83,0.060240963855421686,0.026116511448339007,0.026003017602439858,0.13338603096414572
84,0.05952380952380952,0.025815445179282824,0.025690182263433017,0.13188436100535988
85,0.058823529411764705,0.02552123033160661,0.025384785707111474,0.1304161003642785
86,0.05813953488372093,0.025233636043800634,0.02508656569078512,0.12898014727959828
87,0.05747126436781609,0.024952441692833605,0.024795272156794536,0.1275754478657502
88,0.056818181818181816,0.024677436333866227,0.024510666532829656,0.1262009935427788
89,0.056179775280898875,0.024408418176284766,0.024232521079919085,0.1248558186298662
90,0.05555555555555555,0.024145194093343144,0.023960618284343177,0.12353899809048416
91,0.054945054945054944,0.023887579162930533,0.023694750290056285,0.12224964541815612
92,0.05434782608695652,0.023635396237188327,0.023434718368504144,0.12098691065271419
93,0.053763440860215055,0.023388475538888256,0.02318033242299295,0.11974997851775979
94,0.05319148936170213,0.023146654282653955,0.022931410525010874,0.11853806667078312
95,0.05263157894736842,0.022909776319263525,0.022687778480124224,0.11735042405807834
96,0.052083333333333336,0.022677691801411687,0.022449269421270103,0.11618632936721088
97,0.05154639175257732,0.02245025686943882,0.022215723427449756,0.11504508957036064
98,0.05102040816326531,0.02222733335565147,0.02198698716599007,0.11392603855238045
99,0.06060606060606061,0.023980835366759587,0.028069414889737465,0.12596941764495667
100,0.06,0.023748684174075833,0.02778574526665662,0.12476968531222507
101,0.0594059405940594,0.02352097753748252,0.02750775260018063,0.12359257398773865
102,0.058823529411764705,0.023297589246509983,0.02723526813965306,0.1224374503377698
103,0.05825242718446602,0.02307839781578303,0.026968129757982066,0.12130370443394317
104,0.057692307692307696,0.02286328626638126,0.026706181629780633,0.120190748682826
105,0.05714285714285714,0.022652141919202624,0.02644927392809686,0.11909801681367833
106,0.05660377358490566,0.022444856199570117,0.026197262538493492,0.11802496292071321
107,0.056074766355140186,0.02224132445237595,0.02595000878932941,0.11697106055647577
108,0.05555555555555555,0.02204144576710756,0.02570737919718203,0.11593580187318892
109,0.05504587155963303,0.02184512281214591,0.02546924522642792,0.11491869680913343
110,0.05454545454545454,0.02165226167776901,0.025235483062071407,0.11391927231733298
111,0.06306306306306306,0.023071786354486985,0.03088026451475212,0.12447807253384349
112,0.0625,0.022872657959731247,0.030601532803567907,0.12341567690348033
113,0.061946902654867256,0.022676931459305733,0.030327788623800853,0.12237125007474488
114,0.06140350877192982,0.022484520578284744,0.030058899274456374,0.12134434032853611
115,0.06086956521739131,0.022295341928720964,0.02979473672148799,0.12033451094936126
116,0.0603448275862069,0.02210931489015547,0.0295351773943901,0.11934133960805313
117,0.05982905982905983,0.021926361495999584,0.029280101993339018,0.1183644177746879
118,0.059322033898305086,0.02174640632545545,0.029029395306249407,0.11740335015999528
119,0.058823529411764705,0.021569376400663795,0.02878294603515636,0.11645775418366203
120,0.058333333333333334,0.021395201088786935,0.02854064663137293,0.1155272594680315
121,0.05785123966942149,0.02122381200875362,0.02830239313891006,0.11461150735579681
122,0.05737704918032787,0.021055142942409486,0.028068085045679897,0.11371015045037228
123,0.056910569105691054,0.02088912974983268,0.027837625142034084,0.1128228521777096
124,0.056451612903225805,0.02072571028858923,0.02761091938621925,0.11194928636840208
125,0.056,0.020564824336716324,0.02738787677635804,0.11108913685898955
126,0.05555555555555555,0.020406413519234806,0.027168409228588992,0.11024209711144381
127,0.05511811023622047,0.020250421238003937,0.026952431461022795,0.10940786984987524
128,0.0546875,0.02009679260474285,0.02673986088319332,0.10858616671355914
129,0.05426356589147287,0.01994547437705343,0.026530617490702076,0.10777670792543265
130,0.05384615384615385,0.019796414897289276,0.02632462376477393,0.10697922197526502
131,0.05343511450381679,0.019649564034124295,0.026121804576458928,0.1061934453167491
132,0.05303030303030303,0.01950487312668323,0.025922087095231,0.10541912207780582
133,0.05263157894736842,0.019362294931104185,0.025725400701750632,0.10465600378343515
134,0.05223880597014925,0.019221783569410806,0.025531676904570998,0.1039038490904842
135,0.05185185185185185,0.019083294480578685,0.025340849260581777,0.10316242353373925
136,0.051470588235294115,0.018946784373687055,0.025152853298995935,0.10243149928278228
137,0.051094890510948905,0.018812211183053113,0.024967626448697156,0.10171085490908352
138,0.050724637681159424,0.01867953402525181,0.024785107968775345,0.10100027516283061
139,0.05755395683453238,0.019754154264342294,0.029448548485711504,0.10945776452114366
140,0.05714285714285714,0.019617330352159863,0.02923613475481686,0.10870448882000434
141,0.05673758865248227,0.019482386059466617,0.02902676376760057,0.10796150479612696
142,0.056338028169014086,0.019349282978133778,0.02882037060152546,0.1072286030795093
143,0.055944055944055944,0.019217983737664802,0.028616892168234848,0.10650557993776238
144,0.05555555555555555,0.01908845197045213,0.028416267149224878,0.10579223708774224
145,0.05517241379310345,0.018960652278417953,0.028218435934205734,0.1050883815146795
146,0.0547945205479452,0.018834550200975197,0.02802334056202123,0.10439382529846077
147,0.05442176870748299,0.018710112184248333,0.027830924664003928,0.10370838544673473
148,0.05405405405405406,0.018587305551496673,0.027641133409649507,0.10303188373453236
149,0.053691275167785234,0.01846609847468584,0.027453913454500024,0.10236414655010606
150,0.05333333333333334,0.018346459947155815,0.027269212890132462,0.1017050047467096
151,0.052980132450331126,0.01822835975733666,0.027086981196153395,0.10105429350005228
152,0.05263157894736842,0.018111768463465402,0.02690716919410706,0.10041185217117664
153,0.05228758169934641,0.017996657369259986,0.02672972900320813,0.09977752417452024
154,0.05194805194805195,0.01788299850050837,0.02655461399781532,0.09915115685093433
155,0.05806451612903226,0.018784521441307107,0.030845051413480325,0.10666048869691896
156,0.057692307692307696,0.018667795065272132,0.030645393965407268,0.1059998848606305
157,0.05732484076433121,0.018552508267880623,0.030448304960363402,0.10534740958114827
158,0.056962025316455694,0.018438634623024894,0.03025373514703126,0.10470291382331998
159,0.05660377358490566,0.018326148346363477,0.030061636525488253,0.10406625217125755
160,0.05625,0.018215024275992607,0.029871962307707264,0.10343728271919676
161,0.055900621118012424,0.018105237853810734,0.02968466687954458,0.10281586696628076
162,0.05555555555555555,0.017996765107547223,0.029499705764149557,0.10220186971510292
163,0.06134969325153374,0.01879595120047215,0.033661544479215155,0.10923806808743489
164,0.06097560975609756,0.018685063940407913,0.033454199348097076,0.1085940175421137
165,0.06060606060606061,0.018575475200720344,0.03324939331698606,0.10795751303784593
166,0.06626506024096386,0.019306344863835753,0.037400567775504975,0.11475061308948921
167,0.0658682634730539,0.01919481519005143,0.037174178011739493,0.11408640489078542
168,0.06547619047619048,0.0190845641561253,0.036950512943835216,0.113429837332233
169,0.0650887573964497,0.018975569945995294,0.03672952366838914,0.11278077940679643
