metric,value
baseline_minimum_fuel_kg,4658604.49502
sigma_grid_kg,2.38036490949
sigma_integrator_kg,0.00505583279375
bias_opt_vs_sim_kg,0.00252013094723
sigma_numerical_kg,2.38037161276
sigma_parameter_kg,7535.9267917
sigma_parameter_ci_low_95_kg,6117.95356252
sigma_parameter_ci_high_95_kg,8587.94613417
sigma_parameter_feasible_only_kg,7736.46612469
sigma_parameter_feasible_only_ci_low_95_kg,6143.80218173
sigma_parameter_feasible_only_ci_high_95_kg,8967.63244942
sigma_total_kg,7535.92716764
sigma_total_from_sigma_param_ci_low_kg,6117.95402559
sigma_total_from_sigma_param_ci_high_kg,8587.94646406
ci95_half_width_kg,14770.4172486
numerical_variance_share_percent,9.97737142472e-06
parameter_variance_share_percent,99.9999900226
parameter_converged_rate,0.969696969697
parameter_feasible_rate,0.878787878788
parameter_mean_minimum_fuel_kg,4657353.50236
parameter_p2p5_minimum_fuel_kg,4645513.19242
parameter_p97p5_minimum_fuel_kg,4668986.34695
report_rounding_step_kg,10000
report_value_kg,4660000
report_uncertainty_kg,10000
