nodes,final_mass_kg,runtime_s,solver_success
40,316260.833664,9.33358407021,1
50,316306.45575,11.1742281914,1
60,316341.573043,14.5271112919,1
70,316360.601738,16.1363668442,1
80,316375.164631,17.8129549026,1
90,316380.387618,24.476621151,1
100,316381.292737,27.8197798729,1
110,316384.691669,37.6966300011,1
120,316390.83016,40.0158677101,1
130,316393.947274,47.2908010483,1
140,316395.504982,50.4755377769,1
