thrust_multiplier,density_multiplier,strict_success,fuel_margin_kg,normalized_orbit_error,altitude_error_m,velocity_error_m_s,q_ok,g_ok,status
1.012,1.04,0,204592.310303,39.2206992225,53330.6550777,156.531913144,0,0,MISS
1.024,1.04,0,192789.0059,79.752801345,108203.836914,321.955908779,0,0,MISS
1.036,1.04,0,180985.741324,121.439940491,164248.644041,496.59290202,0,0,MISS
1.048,1.04,0,169182.528224,164.383556309,221574.037799,681.028204833,0,0,MISS
1.06,1.04,0,157379.296398,208.687591632,280288.67187,875.910732109,0,0,MISS
0.94,1.08,0,275411.801269,186.160387059,-259008.42475,-670.414614314,0,1,MISS
0.952,1.08,0,263608.560968,150.185823585,-208371.941341,-550.117014058,0,1,MISS
0.964,1.08,0,251805.230819,113.777097524,-157425.355793,-423.408104572,0,1,MISS
0.976,1.08,0,240002.045655,76.7818585094,-105982.249719,-289.845244543,0,1,MISS
0.988,1.08,0,228198.719475,39.0674091883,-53877.9466183,-148.993862366,0,1,MISS
1,1.08,0,216395.451718,0.54434589143,-968.241672647,-0.41664256477,0,1,PATH
1.012,1.08,0,204592.362204,38.9862052506,52879.0097906,156.345079785,0,0,MISS
1.024,1.08,0,192789.018995,79.5352411647,107776.22092,321.786205638,0,0,MISS
1.036,1.08,0,180985.764596,121.23328171,163834.812657,496.435407233,0,0,MISS
1.048,1.08,0,169182.527728,164.184126561,221167.918215,680.875842189,0,0,MISS
1.06,1.08,0,157379.316619,208.493169163,279886.970471,875.75778496,0,0,MISS
0.94,1.12,0,275411.84126,186.696870649,-259901.697994,-670.963210506,0,1,MISS
0.952,1.12,0,263608.471436,150.633365795,-209134.858058,-550.556354495,0,1,MISS
0.964,1.12,0,251805.226809,114.15734296,-158089.881107,-423.76425087,0,1,MISS
0.976,1.12,0,240002.063004,77.1103204391,-106570.242751,-290.139961309,0,1,MISS
0.988,1.12,0,228198.856422,39.3561464144,-54406.353821,-149.242384848,0,1,MISS
1,1.12,0,216395.486517,0.817182649506,-1453.61973098,-0.62882380358,0,1,PATH
1.012,1.12,0,204592.304799,38.7500323248,52425.786653,156.156017892,0,0,MISS
1.024,1.12,0,192788.974117,79.3162458566,107346.723529,321.616579259,0,0,MISS
1.036,1.12,0,180985.780478,121.025615165,163419.858396,496.273830546,0,0,MISS
1.048,1.12,0,169182.640849,163.984399626,220761.977094,680.719997885,0,0,MISS
1.06,1.12,0,157379.205047,208.300003335,279487.073437,875.607372812,0,0,MISS
0.94,1.16,0,275411.835673,187.237390749,-260799.996449,-671.517983176,0,1,MISS
