toggle,label,enabled,status,runtime_s,error_message
model_limitations,Model limitations,1,completed,0.00605535507202,
smooth_integrator_benchmark,Smooth ODE integrator benchmark,1,completed,6.0609369278,
drift,Drift analysis,1,completed,7.11146211624,
theoretical_efficiency,Theoretical efficiency,1,completed,8.53478503227,
integrator_tolerance,Integrator tolerance,1,completed,31.1018869877,
collocation_defect_audit,Collocation defect audit,1,completed,15.0393357277,
grid_independence,Grid independence,1,completed,463.421301126,
bifurcation_2d_map,Bifurcation 2D map,1,completed,574.036341906,
randomized_multistart,Randomized multi-start robustness,1,completed,2080.03840995,
monte_carlo_precision_target,Monte Carlo precision target,1,completed,1469.0115869,
q2_uncertainty_budget,Q2 uncertainty budget,1,completed,3026.60499597,
q7_conclusion_support,Q7 conclusion support,0,skipped,0.000391244888306,
