trial,label,time_scale,position_noise_sigma,velocity_noise_sigma,mass_noise_sigma,throttle_noise_sigma,direction_noise_sigma_deg,solver_cpu_time_limit_s,solver_success,final_mass_kg,final_mass_gap_to_best_kg,runtime_s
1,nominal,1,0,0,0,0,0,90,1,316395.504982,0.00011866929708,31.9800708294
2,rand_01,0.991614484228,0.00166054715094,0.0194610060152,0.00125577256698,0.0325430762233,1.33695141672,90,0,nan,nan,126.071043015
3,rand_02,0.984060850425,0.00244789830178,0.00321041200348,0.00101367137716,0.0168434494074,3.77127909642,90,0,nan,nan,71.0748858452
4,rand_03,1.01757115595,0.00296180561496,0.00566157680506,0.000658930074384,0.0331556261001,1.78036371362,90,1,316395.504982,0.000118648458738,75.6704120636
5,rand_04,0.991460687873,0.00278306288788,0.0116573202164,0.000909063529843,0.0356019579756,1.72911956619,90,0,nan,nan,119.13970089
6,rand_05,0.974522350874,0.00230799551986,0.00398414364743,0.000759158506366,0.0239509118087,1.85217544288,90,0,nan,nan,110.521302938
7,rand_06,0.978877902656,0.00175855363022,0.00694017771376,0.00199453001565,0.0233694916538,2.00021694643,90,1,316395.504982,0.00011859391816,56.1647779942
8,rand_07,0.993034676315,0.00109559173038,0.0153776212779,0.00153947960031,0.021589827888,1.06345366,90,1,316395.505101,0,47.417951107
