nodes,final_mass_kg,runtime_s,solver_success,terminal_valid,strict_terminal_ok,strict_path_ok,raw_path_ok,raw_q_ok,raw_g_ok,q_ok,g_ok,max_q_pa,max_g,status
80,316375.164631,256.620753288,1,1,1,1,0,0,0,1,1,35132.5743795,4.01984518824,PASS_SLACK
100,316381.292737,292.419701815,1,1,1,1,0,0,0,1,1,35083.6096325,4.00953205566,PASS_SLACK
120,316390.83016,304.824310064,1,1,1,1,0,0,0,1,1,35005.7128123,4.00638022175,PASS_SLACK
140,316395.504982,0,1,1,1,1,0,0,0,1,1,35037.0561251,4.00517772508,PASS_SLACK
