trial,label,time_scale,position_noise_sigma,velocity_noise_sigma,mass_noise_sigma,throttle_noise_sigma,direction_noise_sigma_deg,solver_cpu_time_limit_s,solver_success,final_mass_kg,final_mass_gap_to_best_kg,runtime_s
1,nominal,1,0,0,0,0,0,90,1,316395.504982,0,73.0202870369
2,rand_01,0.958072421139,0.00664218860376,0.0777806130039,0.00744156248225,0.120172304893,4.18136513041,90,0,nan,nan,207.254600048
3,rand_02,1.08468282799,0.0091933963643,0.0394135701344,0.010232823345,0.14486291242,13.6959438164,90,0,nan,nan,86.5029907227
4,rand_03,1.12116701826,0.00496021632511,0.0405848435123,0.00545074034101,0.0477407006217,10.5773005658,90,0,nan,nan,70.7955310345
