run,thrust_multiplier,isp_multiplier,density_multiplier,altitude_error_m,velocity_error_m_s,fuel_margin_kg,strict_success,status
1,0.9827507112622983,0.9933306455699447,0.9039772509527759,-59557.18155250419,-166.59947815853684,226871.89582945575,0,MISS
2,1.0106684507149075,1.0046313617401474,1.0222833495991888,36552.18678878341,103.34841867749037,210484.85250577115,0,MISS
3,0.9823371262785885,1.0120815420510845,0.92157547267352,-102555.04222973157,-290.23863286148116,245302.98059729324,0,MISS
4,0.9899258071517764,1.00793524234001,0.9403847791080431,-61251.872928887606,-177.21398523662265,233970.26292870066,0,MISS
5,1.0195081867972084,1.0083101397871608,1.0230768578420961,67638.9211608367,192.33356910906787,205471.9385531147,0,MISS
6,1.006666180713119,0.9991552262075704,1.0485982399589366,31179.10838631075,92.18385981813299,209001.56887085736,0,MISS
7,1.003124816110498,1.0057689474602767,1.0597914735961131,-149.1465346282348,-2.167758173648508,218981.4736831528,1,PASS
8,0.9828028196491679,1.0058795957457847,1.0135590660803324,-88519.2529626619,-247.73958896491695,238961.24146539666,0,MISS
9,1.020207867515057,0.9969358804863987,1.0676699286152114,98002.79687851388,294.212969083359,193434.6555523555,0,MISS
10,1.0320618404497546,0.9869212312909519,0.7674228344290934,182634.40368456952,561.7142236453683,171406.61691543547,0,MISS
11,0.9966817954103034,1.0010540468446902,0.962902206217906,-16648.33434996754,-49.0908893237156,220691.55627768952,0,MISS
12,0.9900502288542401,1.002282065115251,0.8982581428580223,-47651.32294280175,-138.41975962970355,228399.50474882807,0,MISS
13,1.0018985291299176,0.9930787707775984,0.8792979506137336,26061.61426524911,76.58529137114328,207659.91227280692,0,MISS
14,1.0313689106801507,1.0032554764798878,1.0910879918968357,133698.0950391665,399.10046643143323,188832.9553653447,0,MISS
15,0.995762864773181,0.9967738795316302,1.0131269024407796,-11520.760636996478,-30.52082571277333,217393.2673328201,0,MISS
16,1.0014352611878758,1.0111766158837308,1.0615709109894267,-19910.081467176788,-60.937070388346,225871.3104415142,0,MISS
17,1.0290195232694215,0.9945979840234658,1.0421285862602665,145242.54440065846,442.14370039863206,182354.39512259397,0,MISS
18,0.9875602237349919,1.019736942336653,1.0730479885459048,-98889.43784668483,-278.3934184754853,247432.08207067556,0,MISS
19,1.0281330286235097,1.0192973711558433,1.0802370576996192,79834.64081786014,222.16017092305265,207869.29402954574,0,MISS
20,0.9746132960459241,1.0037054051818195,0.958637852950218,-118146.58459623996,-327.11092874604674,244905.04438322427,0,MISS
21,0.985956629446572,0.9993366685231518,0.9840818985552694,-60045.34622062929,-168.53758754101727,229564.89236756176,0,MISS
22,0.992329080470362,1.0058312969068666,0.9641318091761826,-46486.2291883342,-134.990466137996,229599.3864811386,0,MISS
23,0.9899897461586651,1.0130530034976613,1.0270791596869429,-73363.4822228849,-209.56058496714104,238788.36727440928,0,MISS
24,1.010741182250764,1.0106854616938172,1.003562039587587,22999.113520771265,59.51673330278936,216341.445451124,0,MISS
25,1.010812297101781,1.0094052950101364,0.8758534089754944,27777.14494803641,70.43048163567346,215024.48392403906,0,MISS
26,1.0089076816868052,1.0153994730374432,1.0048103497705714,4095.210351815447,2.7068161302604494,222684.09586814023,1,PASS
27,1.0097801380584752,0.9962475010840809,0.8395600074609398,54512.98261053581,157.1179845471488,203034.53973583644,0,MISS
28,1.0177200411042582,1.010351677184556,0.8238136928411695,57001.42733226437,153.67378567767537,209222.24332733476,0,MISS
29,1.0066409504778597,0.9890087338825082,0.9032852017970475,57015.84931247216,172.11021501580763,198859.60456157778,0,MISS
30,1.006741549808242,0.9879937672720494,0.7417298964041703,61714.65156467352,182.4188335111703,197731.02917228872,0,MISS
31,1.0001042675906904,0.9983052805271827,0.8443617493328819,6234.896218987182,14.439486759606552,214623.04091464228,1,PASS
32,0.9923305219818325,0.9870070112154186,0.9952647411530233,-3884.0009913109243,-2.929987493439512,211090.49843462615,1,PASS
33,1.0095087592555032,1.0082478192917506,0.9631468962131782,23630.73538559582,61.71069436916878,215165.4365178994,0,MISS
34,1.0101907555463052,1.00146042524968,1.0432860639867396,41645.11765129957,121.08612224884473,207820.9111820053,0,MISS
35,0.9993012083830868,1.0021480537086345,1.0209604763693219,-8294.28008007817,-24.335990031129768,219189.69515657367,0,MISS
36,0.9716983432482293,1.0128003788756474,0.986726236581122,-150257.74620184302,-411.704500035582,256312.72385280533,0,MISS
37,1.0101679696988402,0.9957906309501322,0.9479209381047288,56161.07297988981,165.4877854757042,202194.13495785085,0,MISS
38,0.9930515508627373,1.0025396948747427,1.2751156317226289,-39991.74571393896,-106.00537340307528,225704.43528617226,0,MISS
39,1.0103443652875443,0.994052966501246,0.8975356824403129,61715.41906966083,181.9916652801494,200275.44417020027,0,MISS
40,1.0004606868547155,1.0260440123213566,1.1342145004416455,-57986.031145574525,-170.04773729121644,240920.74166592507,0,MISS
41,0.9911942357514039,0.9850136941224057,1.029767623866327,-4694.95987169072,-2.9213636283075175,210223.75617210177,1,PASS
42,1.0311487924172944,0.9916830491973736,1.0207923674757078,163099.45795473643,501.09460627281715,177251.26154850458,0,MISS
43,1.0223004470045298,0.9919479596641695,1.0195314065151073,120741.22246966138,367.4551053650839,186298.3537636244,0,MISS
44,0.9870706092745903,1.0055067208856354,0.8422300640208501,-66935.60208966862,-194.59284068825127,234430.16148820246,0,MISS
45,1.027710924600365,1.0068108456737146,1.0442072130850124,108431.36895114835,316.8933462264058,195977.2151241891,0,MISS
46,1.0088656748331852,0.9926497185759773,1.010391681157998,57131.91775942128,172.63093247123925,200327.26411661349,0,MISS
47,0.9488327644076046,0.9946283052812811,1.1134523390910447,-211130.68384354468,-554.6824359805569,261683.4718483489,0,MISS
48,1.0206260695042373,0.9969423294108614,1.0864362687904714,99715.015043566,299.9785598299095,193028.61285722815,0,MISS
49,0.9992255038210094,0.9891798640949044,1.0538485349595739,21271.247609394602,70.39986826842687,206406.47806321905,0,MISS
50,1.0002089047382599,0.988540632025273,0.856052560303859,29493.05939985253,89.2960672147492,204785.66506138683,0,MISS
51,1.026813747668953,0.9746876526463927,0.9909433910662018,188105.19885047246,600.720135352668,163792.53404796572,0,MISS
52,1.0145094168745203,0.9819424530447389,0.9607749191859177,110395.16724499315,343.2489922442219,183773.41438093537,0,MISS
53,0.9939936139748399,0.9886031210711568,0.9571161816078579,262.12947340030223,6.862806691427068,211032.27432984603,1,PASS
54,0.9924038673695925,1.003938658577959,1.0343069201495367,-42851.20630372595,-121.88476764671486,227696.73222393251,0,MISS
55,1.001986587589372,0.984964490031048,0.9903614339517717,44657.83645537868,140.89470627629635,199396.90517284995,0,MISS
56,0.9977886133118468,1.0141724407251775,0.8607562973308315,-39874.694448890164,-123.89899269917805,232285.5166802621,0,MISS
57,1.0046320930894816,0.9987945415177865,0.9711116742623767,23800.143526247703,68.66352238900345,210646.75503226568,0,MISS
58,0.9882888038068331,1.0129493498649729,1.0483087717100716,-80766.35469705053,-228.71947241276757,240341.66885279032,0,MISS
59,0.9964619420061178,1.009427575355788,0.8960392180827454,-35605.526639543474,-108.71134839949991,229029.54761382955,0,MISS
60,1.009228654408674,0.9835843940041687,0.9499717410623437,81764.4610929722,253.0115936374532,190750.68502314988,0,MISS
61,0.9969172947576743,1.0224232590241356,0.9803934565846694,-63226.77927402966,-187.4744600474669,240933.04095528548,0,MISS
62,0.9736696197199745,1.009882872112087,0.9984697804033564,-135949.95867678057,-374.0035332942234,251666.44695276255,0,MISS
63,0.9840945441963439,0.9855584351784589,0.9984591407345377,-37210.165692660026,-97.04694860731979,217856.47196823347,0,MISS
64,0.9752512047899405,0.995175804098897,0.9200688765063644,-96376.9933655588,-267.26842237271285,236088.39983792056,0,MISS
65,0.9707489070751535,1.008700220460094,1.099674459441032,-147513.16310773417,-399.9087070528394,253402.62402783148,0,MISS
66,1.0022300160288105,0.9919935590822713,1.0878195150764478,27736.0997161204,88.31054994748865,206245.63257145794,0,MISS
67,1.0085682306219672,0.9993741997361834,1.0827442174958348,38830.64073070325,115.43893224088424,207346.70357144932,0,MISS
68,0.9886253064946156,1.0031923331503967,1.000926948528236,-57227.060150421225,-162.15773813764372,230678.12972094736,0,MISS
69,1.0193227645062186,1.0059210275644255,0.9997835488164977,72775.93867539708,208.76017813107137,203291.1421551383,0,MISS
70,1.0080893674127307,1.0023299235836385,0.8376305177372565,32530.399572399445,87.8451570921925,210743.66508398164,0,MISS
71,1.0095914874433891,0.9800269974485062,0.9675461239951871,92211.40073687024,288.8903793176105,186723.13783126196,0,MISS
72,0.9980086109745299,0.9811590588698922,1.0098729318784792,35555.666829548776,117.35485146328028,199504.00400339253,0,MISS
73,1.0010415366040752,0.9908558874057798,0.9576935707992529,26577.48404318001,81.9604655416615,206284.44767943327,0,MISS
74,1.0074553076652109,1.004737918178699,0.9964345604706982,22236.019252274185,60.9011431358158,213735.2919664241,0,MISS
75,1.0013284449989595,0.9978822316950302,0.7564100963507228,13687.37228185311,33.68871562742788,212998.58767295658,0,MISS
76,1.026890535123887,1.0033587370152643,0.847738572884434,115272.9073691126,335.1878558249082,193327.0834604366,0,MISS
77,1.0307618288390086,0.983619518316282,0.9954012991364304,182912.4099836005,573.1105676372435,169253.93872573425,0,MISS
78,1.002563327425393,0.9875976207691264,1.0140246401669355,40636.13004670851,127.53893913358115,201490.30981334997,0,MISS
79,1.0013900317668771,1.0040250206122658,0.8232388937195392,-957.1416289452463,-10.35763677644627,218977.02960872877,1,PASS
80,1.0008826818809744,0.9899956237803778,0.9198841117452681,28339.70879617054,86.67362363844859,205578.70878300688,0,MISS
81,0.9989877418799601,1.0132143586552234,1.099963831965619,-35679.54990560468,-104.67046750493591,230206.37607818522,0,MISS
82,0.9725550739851816,1.0106591277278947,0.8486843510297469,-139893.01691362262,-389.2674231439205,253479.56490022375,0,MISS
83,1.001645971523755,0.9938503976257873,1.0767161720978131,20821.79081967566,66.44734055189929,208680.2441350586,0,MISS
84,1.020680961670849,1.0116972192918037,0.9734168016153943,65444.6453725202,181.93282005176206,207661.35773607565,0,MISS
85,0.9997989311705375,0.9972617412918547,1.0411649360279618,4959.863510787487,17.174918816838726,213893.17742151866,1,PASS
86,0.9733716668203719,0.9895078436411886,1.028643139152175,-93541.92763485573,-253.78459150551225,232435.6050008136,0,MISS
87,0.9977710752930868,1.0042797488305097,1.1044901573125514,-20955.981160512194,-58.87276059600208,222770.2779310784,0,MISS
88,0.9939026366592043,1.006992069740715,1.043510946829844,-43253.2590631675,-124.24644108807206,229180.98710818385,0,MISS
89,0.9820621116189264,0.9947987722666459,0.9783333058517869,-66818.43432999682,-185.0876054884402,228988.93179625535,0,MISS
90,0.9836314546326206,1.0047474248701815,0.9971837939492347,-82244.21980313584,-230.9470534903594,237067.14811601833,0,MISS
91,0.9821186818721935,0.9958878761173282,0.8303279090423512,-67029.08329051267,-190.68426100549732,229994.82317105844,0,MISS
92,0.9978792640143085,1.0089688141653779,1.108576545779031,-31136.366067963652,-89.70619168511985,227206.28402087314,0,MISS
93,1.0043955498299526,1.0027747158010796,1.190938639851211,10839.513084445149,34.95006428633678,214805.74513188633,0,MISS
94,0.990101421648348,0.9922624814563312,1.1886406552367224,-28403.74655607529,-70.50607531576497,218537.77087352687,0,MISS
95,0.9885106441993677,1.0042795490215837,1.1061023938628383,-61554.81000021938,-171.31882725013202,231839.76878434245,0,MISS
96,0.9882029597896925,1.0139685108151408,1.0236812092759788,-82993.01022625528,-235.8323389401139,241389.60002998816,0,MISS
97,0.9985103807675427,0.996053999894125,1.0561743277886897,1846.1805744301528,9.434154224443773,213969.78283860668,1,PASS
98,1.0294973418843056,0.9936799102297877,1.0000001102779024,150299.27378254104,457.8012992949334,180941.2827067041,0,MISS
99,1.000696233188311,0.9806088482421274,1.0001382894359703,49295.27571325004,158.6003600621225,196246.807280522,0,MISS
100,0.9482857232498428,0.9949741572681616,1.2292431845261051,-216411.67159968894,-563.4500437820898,262550.4167491699,0,MISS
101,0.9663736546310323,1.0174042238788013,1.1676445595372766,-185638.73465805873,-494.52855426722545,265730.8062991913,0,MISS
102,1.0391095670188846,0.9986010784598739,0.9938040326625863,183112.1887834808,556.814616265413,176495.6093250136,0,MISS
103,0.952517355037999,1.0152217371599503,0.9519393713731165,-234999.0615004478,-620.4134878056748,277147.13403851836,0,MISS
104,0.9798562722921802,0.988453183735057,0.9365235222444721,-61674.853861625306,-168.93471325207884,224950.30785223714,0,MISS
105,1.021954149809272,1.0036412497642468,0.9827863446186641,90461.40607855003,263.2140295674026,198448.27124422084,0,MISS
106,1.0138332924674929,1.0109256514439617,0.9758100199506108,36534.6752704205,97.74239044885144,213566.4476400576,0,MISS
107,0.9849020217720625,1.0071872633292553,0.9344744839604223,-81209.00675190613,-231.1207284528673,238159.06572010793,0,MISS
108,1.0042670486291843,0.9948417059136082,1.0099189550215497,31042.436172292568,93.71079219175408,207076.7831855694,0,MISS
109,1.0268307910244006,0.99331385267898,0.8989767519323447,139736.84220439475,422.00587258374526,183206.3086389213,0,MISS
110,0.996093345962146,1.0069645127761475,0.8268726728461484,-30845.21234782599,-96.25846008871486,227014.45205339818,0,MISS
111,0.9816404300204548,1.0102380196855352,0.9582468972228722,-102127.07803524565,-287.2917255015245,244239.21672632766,0,MISS
112,0.984877074253897,0.9995089026163425,0.938588963838342,-64517.64888736606,-182.26960375363979,230794.50663657428,0,MISS
113,0.9884656277296411,0.9799372800049128,1.0885326144109,-5639.233100679703,-0.45473610765475314,207835.37642171176,1,PASS
114,1.011995160182344,0.9829929400349606,1.0380354202316968,95155.71267652325,297.2203956343219,187375.2624567729,0,MISS
115,0.9815230854667206,0.995592165010957,1.1014279895811308,-72594.55043082219,-197.52122439510094,230295.34495272738,0,MISS
116,1.007128082026692,1.004809011757224,0.9199005868466292,21513.205039517954,56.544573101899914,214125.31331272773,0,MISS
117,1.0160588303845701,0.9936842594514463,1.0610970321064908,86995.78255138826,263.2845996100041,194247.98783366958,0,MISS
118,0.9941301786230696,1.008678020463849,1.1420248680192453,-47324.800302512944,-133.31242704749366,230581.81566043227,0,MISS
119,1.0458664114844063,1.0040776322986402,0.9492133593353677,201385.5410690885,608.2415701015298,175458.84592288977,0,MISS
120,0.9906774374014615,0.9835340515106938,1.0513408831341498,-3778.5190181145445,1.3652357363698684,209251.62679766654,1,PASS
121,0.9994121108901253,0.9999286072927707,0.9979584190267237,-2421.7807225640863,-6.934430887798044,216903.56899312633,1,PASS
122,1.0096780027078578,0.9883214866631439,1.0401586159123715,71102.8025888754,219.03875865413283,195141.12681623118,0,MISS
123,1.0130211368702582,0.9924412871716772,1.0462933589654368,76250.40858555678,231.32112058420807,195998.9159386772,0,MISS
124,1.0098465457016668,0.9835186335066629,0.9776137125281043,84494.31304906216,262.22025431254497,190065.36404913134,0,MISS
125,1.0353799940312924,0.9993245741421252,0.9641885784581313,163849.8654350806,493.8423875300987,180907.30297109688,0,MISS
126,0.9872657175310238,1.0117972330263845,0.9367302608180927,-81080.19428961165,-232.57094754300124,240243.46366452723,0,MISS
127,0.9964875470616115,0.9897133066361702,1.0466848360396614,7770.125755291432,30.462761982663324,209663.08828886028,0,MISS
128,0.9838368574459233,1.002165748305389,0.946307187063443,-74992.93033481762,-211.8112367488302,234384.99735693913,0,MISS
129,0.9768354686629939,1.018427272244553,1.119989204548457,-142560.3481548,-389.1374810053021,256565.19136814354,0,MISS
130,1.0149594274858749,1.021545891804999,1.125835920800192,15331.922330512665,34.6902405566525,222737.39886991592,0,MISS
131,1.011726791237523,0.9996679575872822,1.0347168986993067,52948.09555625077,155.493244363146,204530.55016572296,0,MISS
132,0.9814040634268056,0.9992067603001658,1.0109660644362093,-79899.8589275442,-221.8035322098085,233920.26531937817,0,MISS
133,1.058848910813661,0.9840952661874056,0.9138161262033425,321911.9659267375,1038.1378233317146,141679.20550103404,0,MISS
134,0.9776507849231282,1.01291587934971,1.1303616429394325,-127549.75884338748,-348.95819224300885,250640.14342638606,0,MISS
135,0.9883450919582643,1.007309335341694,1.1011051078279694,-68917.10457259882,-192.8602835168258,234913.453385962,0,MISS
136,0.9662442113035863,1.0033901396042533,0.9542065291669405,-153006.02642184962,-417.2754460894157,252809.02505075582,0,MISS
137,0.9736000394245145,1.0171275603649645,1.0136468153264182,-151736.95566946175,-415.5929334638595,258488.47145280836,0,MISS
138,1.023880339416632,0.995282342898229,0.9912133416357323,119973.9912482379,361.110836785394,188133.15260664863,0,MISS
139,1.0040110900237478,0.9990830087137097,0.9088851833939005,21071.72497751098,58.727093184325895,211543.82022713462,0,MISS
140,0.9787919774631554,1.0018128398401067,1.0424364967664275,-97352.6071905708,-268.80264351085225,238997.96345029812,0,MISS
141,0.9715238359142755,1.009419494562514,1.0493300046083618,-144911.30641652364,-395.1428160286023,253322.02286510594,0,MISS
142,0.9986697207953832,0.9919892413469288,1.0227105863439088,12476.919042244554,41.87278556609999,209771.5425619069,0,MISS
143,0.988310758860366,0.9858500332202367,1.053744247215986,-19831.29486011248,-46.24206353201316,213940.40687930817,0,MISS
144,1.0029210984651733,1.0148739290787483,0.7621792811047261,-17897.171673231758,-66.12035935645963,227980.11173101823,0,MISS
145,0.978937435262536,1.0111065812797564,0.9833760992485837,-115899.4713277556,-322.9423501898318,247689.73238833342,0,MISS
146,1.0206146478016433,0.9975454796744231,1.0259967028491561,98815.70291444007,294.9760808604824,193648.76722243254,0,MISS
147,1.0183150673805053,1.0170584821235666,0.910962025242144,43039.25191754848,110.78903928733598,215180.28095597075,0,MISS
148,0.9932519807931547,0.9890754115254813,0.9414023430359512,-3970.202393049374,-6.124606801662594,212242.00403683848,1,PASS
149,1.0298434962510041,0.9894123573694894,0.941496210192297,163658.59927101806,503.031244191061,176201.69224571087,0,MISS
150,1.0246371240693875,1.000698371052522,0.9774202503505169,110084.25156821031,325.3126783357502,192865.6405077533,0,MISS
151,1.0184604775432913,1.000537101941018,0.8578559459236219,83416.47487236653,240.8888149029026,198775.38281889213,0,MISS
152,0.984681707542137,0.9995305933155559,0.9474300627139997,-65532.816592444666,-184.7900684463375,231007.9141528227,0,MISS
153,0.9799558826254177,0.991894160546427,0.9305224498576499,-68878.9828450745,-190.75319494693122,228234.0257337115,0,MISS
154,1.0032091599917023,0.9992776641087033,1.017853585675709,15757.532983663492,46.34938995407356,212525.69515955215,0,MISS
155,0.9978159515059641,0.9943667714270203,1.0326027936282274,2963.054914627224,13.047435597029107,212983.6498221513,1,PASS
156,0.9770964425135705,0.9914887126997642,1.193844024118801,-84012.08233367745,-223.8113817286212,230673.35842427303,0,MISS
157,0.9956162174211209,0.9904383006296641,0.9393822144534784,3424.9433774361387,14.256901281163664,211253.49478115066,1,PASS
158,0.9755927840169045,1.0104496631908106,1.1018836864137906,-130618.09794250317,-357.06790297210773,250326.38394370733,0,MISS
159,1.0045962614864545,1.0054901419862632,1.0131850331393248,7578.746900114231,18.71336171844996,217269.87841151166,0,MISS
160,1.014825128020528,0.992738103192846,1.083815923392353,83405.99518671725,253.8380317212568,194511.68783537037,0,MISS
161,1.005028588585657,1.0038666015829967,0.9636103569362094,13839.543478580192,36.263610093175885,215257.0223447461,0,MISS
162,0.9765738605190014,0.994392923790424,0.8873800188521709,-88498.25935211126,-246.71717112368788,234021.37076998327,0,MISS
