n,success_rate,wilson_low_95,wilson_high_95,ci_half_width_95,target_half_width
50,0.0,0.0,0.07135003417431873,0.035675017087159366,0.04
100,0.01,0.0017673865655472645,0.0544875247609346,0.02636006909769367,0.04
150,0.02666666666666667,0.010417772291104764,0.06655490610017561,0.028068566904535425,0.04
