n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
330,0.9454545454545454,0.0,0.5848484848484848,0.503030303030303,0.9787878787878788
331,0.945619335347432,0.0,0.5861027190332326,0.5045317220543807,0.9788519637462235
332,0.9457831325301205,0.0,0.5873493975903614,0.5030120481927711,0.9789156626506024
333,0.9459459459459459,0.0,0.5855855855855856,0.5015015015015015,0.978978978978979
334,0.9461077844311377,0.0,0.5868263473053892,0.5029940119760479,0.9790419161676647
335,0.9462686567164179,0.0,0.5880597014925373,0.5044776119402985,0.9791044776119403
336,0.9464285714285714,0.0,0.5892857142857143,0.5029761904761905,0.9791666666666666
337,0.9465875370919882,0.0,0.5875370919881305,0.5014836795252225,0.9792284866468842
338,0.9467455621301775,0.0,0.5857988165680473,0.5,0.9792899408284024
339,0.9469026548672567,0.0,0.5870206489675516,0.5014749262536873,0.9793510324483776
340,0.9470588235294117,0.0,0.5882352941176471,0.5,0.9794117647058823
341,0.9472140762463344,0.0,0.5894428152492669,0.49853372434017595,0.9794721407624634
342,0.9473684210526315,0.0,0.5877192982456141,0.5,0.97953216374269
343,0.9475218658892128,0.0,0.5889212827988338,0.5014577259475219,0.9795918367346939
344,0.9447674418604651,0.0,0.5901162790697675,0.502906976744186,0.9796511627906976
345,0.9449275362318841,0.0,0.591304347826087,0.5043478260869565,0.9797101449275363
346,0.9450867052023122,0.0,0.5924855491329479,0.5057803468208093,0.9797687861271677
347,0.9452449567723343,0.0,0.5936599423631124,0.5043227665706052,0.9798270893371758
348,0.9454022988505747,0.0,0.5919540229885057,0.5028735632183908,0.9798850574712644
