trial,label,status,solver_success,mission_success,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
3,time_plus,MISSION_OK,1,1,0.226666666667,135.673642683,79.6881812038,58.6400611006,2571.72404812,1921264.78313,-584713.3268,-5760992.79277,2801563.30273
3,time_plus,MISSION_OK,1,1,0.23,137.668843311,83.5808940036,60.7099765781,2639.30953753,1878173.67151,-580166.937769,-5763400.89517,2802309.99953
3,time_plus,MISSION_OK,1,1,0.233333333333,139.664043938,87.593386781,62.8358516991,2706.93913627,1836051.25508,-575502.257375,-5765870.61849,2803074.68836
3,time_plus,MISSION_OK,1,1,0.236666666667,141.659244566,91.7261139434,65.0178048133,2774.63072555,1794868.98232,-570718.561041,-5768401.89334,2803857.26144
3,time_plus,MISSION_OK,1,1,0.24,143.654445194,95.9793875393,67.2558845068,2842.38912509,1754605.48687,-565815.25494,-5770994.56551,2804657.58297
3,time_plus,MISSION_OK,1,1,0.243333333333,145.649645821,100.351997845,69.5494321902,2910.19702807,1715240.26768,-560793.253361,-5773647.70441,2805475.2923
3,time_plus,MISSION_OK,1,1,0.246666666667,147.644846449,104.845143865,71.8989020203,2978.0545103,1676762.04478,-555651.068164,-5776361.58787,2806310.37324
3,time_plus,MISSION_OK,1,1,0.25,149.640047077,109.458442068,74.3040159028,3045.9034022,1639177.34061,-550388.779683,-5779135.68895,2807162.57704
3,time_plus,MISSION_OK,1,1,0.253333333333,151.635247704,114.192504317,76.7649514992,3113.82352025,1602429.22265,-545005.465515,-5781969.96772,2808031.79025
3,time_plus,MISSION_OK,1,1,0.256666666667,153.630448332,119.044820185,79.2785698845,3169.04182193,1298116.93222,-539502.87056,-5784860.89225,2808916.48914
3,time_plus,MISSION_OK,1,1,0.26,155.62564896,123.952208364,81.8041266913,3183.6374172,1290247.51795,-533941.511918,-5787765.09123,2809801.81998
3,time_plus,MISSION_OK,1,1,0.263333333333,157.620849588,128.895553337,84.3218927556,3198.4499491,1282378.12178,-528337.867807,-5790661.72922,2810679.42252
3,time_plus,MISSION_OK,1,1,0.266666666667,159.616050215,133.866520808,86.8338219826,3213.42643524,1274508.73714,-522701.766873,-5793552.65659,2811551.13629
3,time_plus,MISSION_OK,1,1,0.27,161.611250843,138.880403619,89.3370142393,3228.66601008,1266639.38064,-517015.293721,-5796434.93294,2812413.80984
3,time_plus,MISSION_OK,1,1,0.273333333333,163.606451471,143.912917822,91.8365326479,3244.02134854,1258770.03849,-511306.971707,-5799313.53225,2813272.59734
3,time_plus,MISSION_OK,1,1,0.276666666667,165.601652098,148.985816595,94.3282385095,3259.61472123,1250900.71345,-505551.320605,-5802184.2573,2814123.00882
3,time_plus,MISSION_OK,1,1,0.28,167.596852726,154.096029275,96.8130302043,3275.43828695,1243031.41716,-499751.988177,-5805047.90617,2814965.77905
3,time_plus,MISSION_OK,1,1,0.283333333333,169.592053354,159.234308695,99.2927590187,3291.42785149,1235162.13495,-493919.825704,-5807906.31925,2815802.84429
3,time_plus,MISSION_OK,1,1,0.286666666667,171.587253981,164.411370483,101.765706444,3307.65171117,1227292.87874,-488042.336048,-5810757.63397,2816632.09335
