nodes,final_mass_kg,runtime_s,solver_success
40,316260.833664,9.3740170002,1
50,316306.45575,10.8154981136,1
60,316341.573043,14.5556793213,1
70,316360.601738,16.0615799427,1
80,316375.164631,19.0207691193,1
90,316380.387618,21.6505038738,1
100,316381.292737,22.7578120232,1
110,316384.691669,25.1383430958,1
120,316390.83016,24.5000879765,1
130,316393.947274,28.4637310505,1
140,316395.504982,29.3942489624,1
