time_s,specific_energy_J_per_kg,angular_momentum_m2_s,rel_energy_drift,rel_h_drift
0,-29316889.3162,52055165815.6,0,0
0.0127592458058,-29316889.3162,52055165815.6,1.27069767132e-16,0
0.140351703864,-29316889.3162,52055165815.6,2.54139534265e-16,0
1.41627628445,-29316889.3162,52055165815.6,1.27069767132e-16,0
14.1755220903,-29316889.3162,52055165815.6,4.7015813839e-15,2.6381455022e-15
43.9872190409,-29316889.3162,52055165815.6,7.71567626029e-13,3.86048625155e-13
74.5427751185,-29316889.3162,52055165815.6,1.65927701922e-12,8.29696760441e-13
105.776050741,-29316889.3161,52055165815.6,2.66986287722e-12,1.33504818775e-12
137.635643715,-29316889.3161,52055165815.7,3.80662901399e-12,1.9032754162e-12
170.070303336,-29316889.3161,52055165815.7,5.06982956905e-12,2.53496470033e-12
203.026443856,-29316889.316,52055165815.7,6.45768556567e-12,3.22909009469e-12
236.446025913,-29316889.316,52055165815.8,7.9653683527e-12,3.98286689012e-12
270.264917962,-29316889.3159,52055165815.8,9.58245820923e-12,4.79131192291e-12
304.411962786,-29316889.3159,52055165815.9,1.12940879725e-11,5.64739013837e-12
338.809001406,-29316889.3158,52055165815.9,1.30808159682e-11,6.54069551814e-12
373.372023637,-29316889.3158,52055165815.9,1.49196425683e-11,7.45994266202e-12
408.013405064,-29316889.3157,52055165816,1.67832477731e-11,8.39150115158e-12
442.644908749,-29316889.3157,52055165816,1.86430408848e-11,9.32174056838e-12
477.180898562,-29316889.3156,52055165816.1,2.0472591392e-11,1.02364442394e-11
511.541145418,-29316889.3156,52055165816.1,2.22488996668e-11,1.11244733282e-11
545.652748991,-29316889.3155,52055165816.2,2.39498555696e-11,1.1975128689e-11
579.450964853,-29316889.3155,52055165816.2,2.55611002168e-11,1.27807890127e-11
612.878995605,-29316889.3154,52055165816.3,2.70708161201e-11,1.35355917536e-11
645.886971946,-29316889.3154,52055165816.3,2.84722685818e-11,1.42363125117e-11
678.430395007,-29316889.3154,52055165816.3,2.97608830903e-11,1.48804597051e-11
710.468263616,-29316889.3153,52055165816.4,3.09357701572e-11,1.54678867703e-11
741.961015544,-29316889.3153,52055165816.4,3.19973109919e-11,1.59985937072e-11
772.868305891,-29316889.3153,52055165816.4,3.29471575012e-11,1.64736064612e-11
803.14653572,-29316889.3152,52055165816.4,3.37881052201e-11,1.68942441052e-11
