run,thrust_multiplier,isp_multiplier,density_multiplier,altitude_error_m,velocity_error_m_s,fuel_margin_kg,strict_success,status
1,0.950651792243,0.997105231147,1.04688681103,-207378.149705,-548.345502012,262219.919331,0,MISS
2,1.02328678756,1.00141402659,0.955028318454,102331.235288,300.335408633,194911.955492,0,MISS
3,0.984993742784,0.994466142772,1.11708515888,-55078.7079264,-148.384114077,225764.473594,0,MISS
4,1.0143520064,0.987603046887,0.939926219444,95547.9679765,291.350021017,189754.743974,0,MISS
5,1.00634667011,0.993094801997,0.858863375395,46310.8288682,135.699521131,203270.325333,0,MISS
6,1.00048466904,0.979243537817,1.080213998,50803.0563341,166.58875617,195059.747723,0,MISS
7,0.998396343646,0.993709817971,0.960502054773,7944.48376341,25.7576080354,211756.643731,0,MISS
8,0.987946788278,0.974974890663,0.898336505803,6072.68313866,31.7474625986,203308.847155,0,MISS
9,0.998720782459,0.994698986982,1.01979081366,6380.38349702,22.3123055971,212418.579229,0,MISS
10,1.00011910595,1.00195577381,1.00981552761,-4096.81246963,-12.6024560289,218198.569513,1,PASS
11,1.0463001628,0.999135898771,0.789313797659,218231.325298,663.786354473,169964.553602,0,MISS
12,0.981082804868,0.985179977093,1.02405544678,-49976.1021904,-131.949204953,220486.151656,0,MISS
13,1.02944121263,1.00411106674,1.11303779654,122365.231486,363.91269656,191582.764777,0,MISS
14,0.998728288034,0.988384395003,0.904766057533,22635.3768857,70.6532792615,206101.627438,0,MISS
15,1.0075745052,0.976705766686,1.04351298657,90425.8747053,288.724734973,185308.849532,0,MISS
16,0.995679569079,1.00320085181,0.858228334457,-24615.6197281,-75.8588626963,223769.977145,0,MISS
17,0.98501867796,0.997728479757,1.127558427,-62454.6623738,-170.018648159,228925.52282,0,MISS
18,0.998508013649,1.01032354135,1.05291607005,-30703.6996207,-90.8588808372,227898.721103,0,MISS
19,1.01211282882,1.00676537907,1.04271021477,37780.2662874,106.074547941,211171.190654,0,MISS
20,1.00906089165,1.01822820838,1.15583224274,-3510.78892334,-15.8821595321,225251.126101,1,PASS
21,0.991467581009,0.994439578039,1.14476297213,-26811.9132995,-68.5914361051,219335.276821,0,MISS
22,0.997469295589,0.999773493235,1.1646452943,-12722.3740858,-31.2698134056,218662.463519,0,MISS
23,1.01458994828,0.99757669377,0.893910467029,72555.3917902,211.598533225,199620.536083,0,MISS
24,0.983723993377,0.997723751098,1.00689745043,-66480.885436,-184.711145287,230197.191389,0,MISS
25,1.00270931869,1.01103558824,1.12198332297,-14758.7750157,-44.6340711495,224495.866878,0,MISS
26,1.02143394618,1.00326142755,1.11928832415,87514.6799898,258.525820603,198579.140737,0,MISS
27,0.972462212584,1.00971591346,1.09263537358,-142257.54525,-387.020189691,252685.869293,0,MISS
28,1.02245089824,1.00968851501,0.828311893833,79827.7911224,222.05495288,203962.831658,0,MISS
29,1.00007847211,0.993165005955,0.98604229645,16454.373871,51.5667263665,209548.555732,0,MISS
30,0.978689716239,1.01812004015,1.01093813713,-132242.491375,-366.382100891,254489.053707,0,MISS
31,0.972713517026,0.996256688363,1.04487190467,-111466.898788,-304.036777653,239639.645343,0,MISS
32,1.01776224077,1.00097840992,0.901884985497,78679.5187395,227.515740289,199903.052995,0,MISS
33,1.00471866774,0.983678688935,1.11324744476,58955.75727,188.372219548,195357.069387,0,MISS
34,0.992492019989,0.996512682136,0.963727199497,-24778.2790518,-69.4151730325,220364.160824,0,MISS
35,1.01157850396,0.997228009412,1.33855676179,54715.455559,171.340248324,202241.109092,0,MISS
36,1.01130773031,0.983590205683,0.906698899211,91849.2299258,282.701019179,188677.66437,0,MISS
37,0.978514668416,1.00151734276,1.2131940111,-100384.92273,-271.390325961,238986.832879,0,MISS
38,0.995624623848,0.982426254594,1.01854441762,21557.778563,75.180229893,203181.301105,0,MISS
39,0.996819987933,0.986370952396,0.879679722342,19113.6164257,61.0569292156,205975.777124,0,MISS
40,0.978209631256,1.01346647003,0.77909086808,-120834.222579,-343.126910152,250613.565134,0,MISS
41,1.01546986769,0.987541786533,0.965304698191,100622.123177,307.751199249,188578.813909,0,MISS
42,0.959184789199,0.99485531728,1.11106244909,-167500.933519,-446.509498174,251662.706569,0,MISS
43,0.976838766037,1.00366448348,0.894683756963,-107598.340093,-301.357247449,242685.242246,0,MISS
44,0.99197819491,0.984805661474,0.924291732621,550.020818265,9.32264032275,209231.745639,1,PASS
45,1.0119587932,0.996502564654,1.0695449141,61228.4321653,183.547537671,201139.41894,0,MISS
46,0.988162006243,0.992078792587,1.04560746314,-34778.3227061,-92.6096434546,220278.767425,0,MISS
47,0.955980516812,0.991568808596,0.853312693088,-169843.75415,-460.138190944,251697.926204,0,MISS
48,0.982951243323,1.01225667406,0.825071617521,-98889.9403167,-283.668644376,244871.438313,0,MISS
49,0.986598972566,0.999574120171,0.973853392284,-57641.0916366,-162.35158915,229163.315091,0,MISS
50,0.983629487223,1.01303117842,1.01274022874,-100423.099309,-282.067763849,244943.171504,0,MISS
51,0.991158104083,1.00389033265,0.971460624219,-47362.043142,-136.226477966,228870.612797,0,MISS
52,1.01228711462,1.0014168157,0.952833712256,52230.1594949,149.719591467,205718.561979,0,MISS
53,1.01664414683,1.00860742193,1.06142993924,53578.0187093,151.640193905,208558.075085,0,MISS
54,0.993552613772,1.00421371419,0.967974652025,-37588.0318552,-109.402305596,226837.762891,0,MISS
55,0.976579802019,0.996881115619,1.03383439758,-95985.8195642,-263.404361082,236426.479749,0,MISS
56,1.02656747978,1.0013208708,0.972081714921,117516.322413,347.445705541,191595.568228,0,MISS
57,1.01399875242,1.001174222,0.866316300968,61513.7464688,174.968097958,203796.024857,0,MISS
58,0.970569530507,0.979061414726,0.983956490567,-81772.3896506,-218.007386416,224926.859541,0,MISS
59,1.00464057139,1.01140732647,0.985851281866,-5402.70040212,-22.500039072,222976.214984,0,MISS
60,0.987385165615,1.00581310424,1.11653914959,-69993.9571013,-194.647610055,234416.571449,0,MISS
61,0.995308675654,1.00902136126,1.00029132565,-41079.4727032,-120.537063575,229762.739622,0,MISS
62,1.01081182682,1.01028561582,1.13066701897,22724.6650167,62.6762863291,215883.252236,0,MISS
63,1.01464878163,0.98989901376,1.12667090594,89178.569378,275.127148864,191803.197708,0,MISS
64,0.983762816267,1.00156820106,1.02334835809,-75055.6001007,-209.350005249,233881.544977,0,MISS
65,0.995888595817,0.996524625887,1.00859991769,-10333.5026851,-27.1200548611,217023.257388,0,MISS
66,0.978811591755,0.992286761198,1.02246138465,-75970.719646,-207.567644144,229752.869785,0,MISS
67,0.997863401964,1.00514984016,0.959472197085,-20702.0040297,-62.9338817696,223525.704647,0,MISS
68,1.03215844173,0.990679790277,1.10868152395,169639.970479,525.622665891,175213.114357,0,MISS
69,1.01397262447,1.00149055485,1.10918410275,57916.0471913,171.009792038,204136.472373,0,MISS
70,0.994321472445,0.996253044911,1.03794204643,-17014.1579876,-45.0933607223,218302.672149,0,MISS
71,1.00198752492,0.993269662171,1.13864233295,23016.7889413,75.0580053833,207762.527982,0,MISS
72,0.980449512176,0.995185525456,0.823431302184,-72617.4553889,-205.864015512,230960.154844,0,MISS
73,0.999950974565,0.995809711691,0.96754301486,9896.94863517,30.2192637069,212304.943485,0,MISS
74,1.00788650486,0.998608605163,0.968290116397,38885.5508711,112.844380893,207257.026192,0,MISS
75,1.03379520865,0.99823728003,0.912058564964,159718.612667,480.379531994,181358.752674,0,MISS
76,1.02200753138,0.992157178568,0.89067751136,120199.71891,361.87548111,186802.52237,0,MISS
77,0.997406661141,1.01133294214,1.03756851007,-37567.8869623,-110.847473198,229939.975309,0,MISS
78,1.00234181411,1.00749025207,1.02879166507,-7163.82031145,-24.0051535751,221421.936158,0,MISS
79,1.01050572632,0.999451893861,1.06969604575,47543.3711501,140.672050759,205516.962146,0,MISS
80,1.01745909795,1.01239163562,0.910259304375,50069.5802438,134.373068192,211472.141935,0,MISS
81,1.00766221325,0.984001377888,0.95916201807,73390.6766731,227.369287688,192744.26394,0,MISS
82,0.987504458019,1.00353807421,0.878449459407,-61225.365934,-176.992165606,232110.676034,0,MISS
83,0.970575862505,1.004861403,0.888479264111,-136703.210872,-378.034307675,249955.797592,0,MISS
84,1.01750170543,1.00541155511,0.933076093511,66490.1551808,188.49636987,204567.656408,0,MISS
85,0.9937663931,0.990913061036,1.09547922977,-7807.457377,-13.8364450946,213563.322761,0,MISS
86,1.01464430601,0.996841735251,0.906127088202,74453.7932144,218.25254181,198829.335728,0,MISS
87,0.958667578624,0.99586415185,0.991091263595,-169833.729118,-456.700546263,253134.180322,0,MISS
88,0.988077129456,1.0093426199,0.969322021752,-72713.8913705,-208.051744028,237118.724536,0,MISS
89,1.03969162882,0.99981109298,0.922641514297,183439.78293,554.499571814,177161.596199,0,MISS
