phase,interval_index,position_defect_m,velocity_defect_m_s,mass_defect_kg,max_relative_defect
boost,82,1.16415321827e-10,2.84217094304e-14,4.65661287308e-10,1.76668867647e-16
boost,83,1.16415321827e-10,1.17185710042e-13,0,1.7700615131e-16
boost,84,0,1.13686837722e-13,0,1.7234817276e-16
boost,85,9.31322574615e-10,2.54211497293e-13,0,1.88847266689e-16
boost,86,1.16415321827e-10,2.27373675443e-13,4.65661287308e-10,1.85419593441e-16
boost,87,9.31322574615e-10,0,0,1.62683032764e-16
boost,88,4.65661287308e-10,1.13686837722e-13,4.65661287308e-10,1.66882958357e-16
boost,89,1.04125029291e-09,0,0,1.66867882274e-16
boost,90,0,2.84217094304e-14,4.65661287308e-10,1.68858958256e-16
boost,91,1.16415321827e-10,2.84217094304e-14,0,1.79994273196e-16
boost,92,1.04125029291e-09,1.13686837722e-13,0,1.66821545116e-16
boost,93,1.16415321827e-10,2.54211497293e-13,4.65661287308e-10,1.80828111477e-16
boost,94,9.31322574615e-10,2.27373675443e-13,0,1.62525144819e-16
boost,95,0,2.84217094304e-14,0,1.13610604321e-16
boost,96,9.31322574615e-10,2.84217094304e-14,4.65661287308e-10,1.78711326046e-16
boost,97,0,2.34371420084e-13,4.65661287308e-10,2.2150270031e-16
boost,98,4.79992668333e-10,0,4.65661287308e-10,1.83081193605e-16
boost,99,0,0,4.65661287308e-10,1.84081557015e-16
boost,100,0,5.68434188608e-14,0,2.13034067697e-16
boost,101,1.16415321827e-10,2.6048926969e-13,0,2.10240604027e-16
boost,102,9.31322574615e-10,2.78474742889e-13,0,4.14924692285e-16
boost,103,9.31322574615e-10,2.34371420084e-13,0,2.04699739519e-16
boost,104,9.31322574615e-10,2.54211497293e-13,0,1.62269583232e-16
boost,105,1.16415321827e-10,1.13686837722e-13,9.31322574615e-10,3.91704096496e-16
boost,106,4.79992668333e-10,1.13686837722e-13,4.65661287308e-10,1.97961698209e-16
boost,107,1.16415321827e-10,2.34371420084e-13,0,1.93816959033e-16
boost,108,1.04773789644e-09,2.27373675443e-13,0,1.88405703581e-16
boost,109,4.65661287308e-10,1.13686837722e-13,9.31322574615e-10,4.09144817286e-16
boost,110,0,1.13686837722e-13,4.65661287308e-10,2.06875183477e-16
boost,111,0,2.6048926969e-13,4.65661287308e-10,2.09230383273e-16
boost,112,0,5.68434188608e-14,0,1.80638413693e-16
boost,113,4.79992668333e-10,1.27105748646e-13,4.65661287308e-10,2.1410538403e-16
boost,114,4.79992668333e-10,2.34371420084e-13,0,2.19314075607e-16
boost,115,0,2.34371420084e-13,4.65661287308e-10,2.19212936348e-16
boost,116,0,3.26540580689e-13,0,2.1265016938e-16
boost,117,9.31322574615e-10,5.68434188608e-14,4.65661287308e-10,2.24570080274e-16
boost,118,4.65661287308e-10,5.68434188608e-14,2.32830643654e-10,1.66334813904e-16
boost,119,9.31322574615e-10,2.34371420084e-13,2.32830643654e-10,2.02994258058e-16
boost,120,0,5.68434188608e-14,0,1.60750225237e-16
boost,121,4.65661287308e-10,0,2.32830643654e-10,1.66266496504e-16
boost,122,1.16415321827e-10,5.68434188608e-14,0,1.98177656116e-16
boost,123,4.65661287308e-10,0,2.32830643654e-10,1.66219322873e-16
boost,124,0,2.27373675443e-13,0,1.88445898384e-16
boost,125,2.32830643654e-10,4.54747350886e-13,0,4.01422912522e-16
boost,126,4.79992668333e-10,5.68434188608e-14,2.32830643654e-10,2.01595501898e-16
boost,127,0,5.68434188608e-14,2.32830643654e-10,1.46129800303e-16
boost,128,1.04125029291e-09,2.27373675443e-13,0,1.78338000313e-16
boost,129,4.79992668333e-10,4.5828629415e-13,0,2.0437224491e-16
boost,130,4.65661287308e-10,5.68434188608e-14,2.32830643654e-10,1.66044190296e-16
